category,question,option_a,option_b,option_c,option_d,answer
umum,Benda langit yang menghasilkan cahayanya sendiri disebut...,Planet,Bintang,Satelit,Asteroid,B
umum,Hewan yang bernapas dengan insang adalah...,Kucing,Ikan,Ayam,Kelinci,B
umum,Indra untuk mengecap rasa adalah...,Mata,Hidung,Lidah,Telinga,C
umum,Warna campuran merah dan putih adalah...,Hijau,Ungu,Merah muda,Cokelat,C
umum,Alat untuk mengetahui arah mata angin adalah...,Kompas,Termometer,Stopwatch,Mikroskop,A
umum,Hewan pemakan tumbuhan disebut...,Karnivor,Herbivor,Omnivor,Insektivor,B
umum,Satuan panjang SI adalah...,Kilogram,Meter,Sekon,Ampere,B
umum,Bulan merupakan satelit alami dari...,Mars,Venus,Bumi,Jupiter,C
umum,Hewan yang memiliki belalai adalah...,Gajah,Zebra,Jerapah,Badak,A
umum,Rumah adat Tongkonan berasal dari masyarakat...,Toraja,Badui,Asmat,Sasak,A
sejarah,Hari Kebangkitan Nasional diperingati setiap...,2 Mei,20 Mei,17 Agustus,28 Oktober,B
sejarah,BPUPKI dibentuk pada masa pendudukan...,Belanda,Jepang,Inggris,Portugis,B
sejarah,PPKI merupakan singkatan dari...,Panitia Persiapan Kemerdekaan Indonesia,Panitia Pembentukan Kerajaan Indonesia,Persatuan Pemuda Kemerdekaan Indonesia,Panitia Perdagangan Kemerdekaan Indonesia,A
sejarah,Pencipta lagu Indonesia Raya adalah...,W.R. Supratman,Ismail Marzuki,C. Simanjuntak,Kusbini,A
sejarah,Semboyan Bhinneka Tunggal Ika berasal dari kitab...,Negarakertagama,Sutasoma,Pararaton,Arjunawiwaha,B
sejarah,Kerajaan Sriwijaya dikenal sebagai kerajaan bercorak...,Hindu,Buddha,Islam,Kristen,B
sejarah,Pangeran Diponegoro memimpin perang melawan...,Spanyol,Belanda,Jepang,Inggris,B
sejarah,Bandung Lautan Api terjadi pada tahun...,1945,1946,1947,1948,B
sejarah,Serangan Umum 1 Maret 1949 terjadi di...,Bandung,Jakarta,Yogyakarta,Surabaya,C
sejarah,Pendiri Taman Siswa adalah...,Ki Hajar Dewantara,Mohammad Hatta,Wahidin Sudirohusodo,H.O.S. Tjokroaminoto,A
geografi,Ibu kota Provinsi Kalimantan Tengah adalah...,Sampit,Palangka Raya,Pangkalan Bun,Muara Teweh,B
geografi,Selat Bali memisahkan Bali dan...,Lombok,Jawa,Sumatra,Sumbawa,B
geografi,Danau terbesar di Indonesia adalah...,Toba,Sentani,Poso,Maninjau,A
geografi,Kota yang dijuluki Kota Hujan adalah...,Bogor,Solo,Medan,Kupang,A
geografi,Provinsi paling barat Indonesia adalah...,Aceh,Sumatra Barat,Banten,Riau,A
geografi,Ibu kota Kalimantan Timur adalah...,Samarinda,Balikpapan,Bontang,Tarakan,A
geografi,Ibu kota Kalimantan Barat adalah...,Pontianak,Singkawang,Ketapang,Sintang,A
geografi,Ibu kota Kalimantan Utara adalah...,Tarakan,Tanjung Selor,Nunukan,Malinau,B
geografi,Ibu kota Papua adalah...,Merauke,Jayapura,Wamena,Biak,B
geografi,Ibu kota Sulawesi Selatan adalah...,Palu,Kendari,Makassar,Manado,C
sains,Simbol kimia oksigen adalah...,O,Ox,Og,O2,A
sains,Simbol kimia natrium adalah...,N,Na,Nt,S,B
sains,Rumus karbon dioksida adalah...,CO,CO2,C2O,CaO,B
sains,Proses pelepasan uap air melalui daun disebut...,Transpirasi,Respirasi,Fotosintesis,Kondensasi,A
sains,Gaya yang menghambat gerak permukaan yang bersentuhan disebut...,Gravitasi,Gesek,Magnet,Pegas,B
sains,Energi karena gerak disebut energi...,Potensial,Kinetik,Kimia,Nuklir,B
sains,Energi karena posisi disebut energi...,Kinetik,Potensial,Bunyi,Cahaya,B
sains,Satuan SI untuk massa adalah...,Gram,Kilogram,Ton,Pound,B
sains,Satuan SI untuk waktu adalah...,Menit,Jam,Sekon,Hari,C
sains,Magma yang mencapai permukaan disebut...,Lava,Abu,Humus,Batuan sedimen,A
teknologi,Format audio kompresi lossy yang populer adalah...,PNG,MP3,CSV,HTML,B
teknologi,Format video populer di web adalah...,MP4,TXT,WAV,BMP,A
teknologi,Shortcut untuk menyalin teks adalah...,Ctrl+C,Ctrl+P,Ctrl+Z,Ctrl+F,A
teknologi,Shortcut untuk menempelkan teks adalah...,Ctrl+A,Ctrl+V,Ctrl+S,Ctrl+X,B
teknologi,Shortcut untuk membatalkan tindakan terakhir adalah...,Ctrl+Z,Ctrl+B,Ctrl+N,Ctrl+R,A
teknologi,Firewall berfungsi terutama untuk...,Menyaring lalu lintas jaringan,Membesarkan monitor,Mengisi baterai,Mencetak dokumen,A
teknologi,Bluetooth digunakan untuk komunikasi...,Jarak dekat nirkabel,Antarbenua dengan kabel laut,Satelit saja,Televisi analog,A
teknologi,GPU terutama berkaitan dengan pemrosesan...,Grafis,Kertas,Suara manusia saja,Suhu,A
teknologi,Backup data berarti...,Membuat salinan data,Menghapus data,Mengganti nama file,Mematikan komputer,A
teknologi,DNS membantu menerjemahkan nama domain menjadi...,Alamat IP,Nomor telepon,Kode pos,Password,A
olahraga,Satu pertandingan sepak bola normal terdiri dari...,2 babak,3 babak,4 babak,5 babak,A
olahraga,Olahraga yang memakai raket dan kok adalah...,Bulu tangkis,Baseball,Rugby,Hoki,A
olahraga,"Dalam basket, memasukkan bola ke keranjang menghasilkan...",Gol,Run,Poin,Set,C
olahraga,"Dalam tenis, angka setelah 30 adalah...",35,40,45,50,B
olahraga,Olahraga dengan gerakan berguling di atas matras adalah...,Senam,Renang,Panahan,Balap sepeda,A
olahraga,Gaya renang dengan posisi telentang disebut...,Gaya dada,Gaya punggung,Gaya kupu-kupu,Gaya bebas,B
olahraga,Lembing dilempar dalam cabang...,Atletik,Bola voli,Tenis,Bulu tangkis,A
olahraga,Tolak peluru menggunakan gerakan utama...,Menendang,Mendorong,Memukul,Menangkap,B
olahraga,Satu game bulu tangkis umumnya dimainkan sampai...,11 poin,15 poin,21 poin,25 poin,C
olahraga,"Dalam sepak bola, kartu merah berarti pemain...",Mendapat bonus,Dikeluarkan,Mendapat penalti,Menjadi kapten,B
bahasa,Sinonim kata “indah” adalah...,Elok,Buruk,Kasar,Lemah,A
bahasa,Antonim kata “tinggi” adalah...,Besar,Rendah,Panjang,Luas,B
bahasa,Kata baku yang benar adalah...,Aktifitas,Aktivitas,Aktifvitas,Aktifitaz,B
bahasa,Puisi biasanya disusun dalam bentuk...,Bait,Tabel,Daftar,Kolom,A
