category,question,option_a,option_b,option_c,option_d,answer
umum,Benda langit yang menghasilkan cahayanya sendiri disebut...,Asteroid,Bintang,Satelit,Planet,B
umum,Hewan yang bernapas dengan insang adalah...,Ikan,Kucing,Ayam,Kelinci,A
umum,Indra untuk mengecap rasa adalah...,Mata,Lidah,Telinga,Hidung,B
umum,Warna campuran merah dan putih adalah...,Cokelat,Hijau,Merah muda,Ungu,C
umum,Alat untuk mengetahui arah mata angin adalah...,Mikroskop,Kompas,Termometer,Stopwatch,B
umum,Hewan pemakan tumbuhan disebut...,Karnivor,Herbivor,Omnivor,Insektivor,B
umum,Satuan panjang SI adalah...,Kilogram,Meter,Ampere,Sekon,B
umum,Bulan merupakan satelit alami dari...,Venus,Bumi,Mars,Jupiter,B
umum,Hewan yang memiliki belalai adalah...,Badak,Gajah,Zebra,Jerapah,B
umum,Rumah adat Tongkonan berasal dari masyarakat...,Sasak,Asmat,Badui,Toraja,D
sejarah,Hari Kebangkitan Nasional diperingati setiap...,17 Agustus,28 Oktober,2 Mei,20 Mei,D
sejarah,BPUPKI dibentuk pada masa pendudukan...,Portugis,Inggris,Jepang,Belanda,C
sejarah,PPKI merupakan singkatan dari...,Panitia Perdagangan Kemerdekaan Indonesia,Panitia Persiapan Kemerdekaan Indonesia,Persatuan Pemuda Kemerdekaan Indonesia,Panitia Pembentukan Kerajaan Indonesia,B
sejarah,Pencipta lagu Indonesia Raya adalah...,W.R. Supratman,Kusbini,C. Simanjuntak,Ismail Marzuki,A
sejarah,Semboyan Bhinneka Tunggal Ika berasal dari kitab...,Pararaton,Arjunawiwaha,Negarakertagama,Sutasoma,D
sejarah,Kerajaan Sriwijaya dikenal sebagai kerajaan bercorak...,Hindu,Kristen,Buddha,Islam,C
sejarah,Pangeran Diponegoro memimpin perang melawan...,Jepang,Inggris,Belanda,Spanyol,C
sejarah,Bandung Lautan Api terjadi pada tahun...,1946,1948,1947,1945,A
sejarah,Serangan Umum 1 Maret 1949 terjadi di...,Surabaya,Jakarta,Yogyakarta,Bandung,C
sejarah,Pendiri Taman Siswa adalah...,Mohammad Hatta,H.O.S. Tjokroaminoto,Wahidin Sudirohusodo,Ki Hajar Dewantara,D
geografi,Ibu kota Provinsi Kalimantan Tengah adalah...,Pangkalan Bun,Sampit,Muara Teweh,Palangka Raya,D
geografi,Selat Bali memisahkan Bali dan...,Jawa,Sumatra,Sumbawa,Lombok,A
geografi,Danau terbesar di Indonesia adalah...,Toba,Maninjau,Poso,Sentani,A
geografi,Kota yang dijuluki Kota Hujan adalah...,Solo,Bogor,Kupang,Medan,B
geografi,Provinsi paling barat Indonesia adalah...,Sumatra Barat,Riau,Aceh,Banten,C
geografi,Ibu kota Kalimantan Timur adalah...,Tarakan,Bontang,Samarinda,Balikpapan,C
geografi,Ibu kota Kalimantan Barat adalah...,Sintang,Ketapang,Singkawang,Pontianak,D
geografi,Ibu kota Kalimantan Utara adalah...,Malinau,Nunukan,Tanjung Selor,Tarakan,C
geografi,Ibu kota Papua adalah...,Merauke,Biak,Wamena,Jayapura,D
geografi,Ibu kota Sulawesi Selatan adalah...,Kendari,Makassar,Manado,Palu,B
sains,Simbol kimia oksigen adalah...,Og,O,O2,Ox,B
sains,Simbol kimia natrium adalah...,Na,S,Nt,N,A
sains,Rumus karbon dioksida adalah...,CO2,C2O,CaO,CO,A
sains,Proses pelepasan uap air melalui daun disebut...,Transpirasi,Kondensasi,Fotosintesis,Respirasi,A
